Wavenumber   CA_CO2/H2O Uncertainty   
2400.0102513 0.0111388 7.1244105E-4
2403.3850727 0.0097041 5.0644245E-4
2406.7900264 0.0077478 4.3048116E-4
2410.1648478 0.0062216 2.8191527E-4
2413.5698015 0.0049339 2.458643E-4
2416.9446229 0.0039378 1.6926954E-4
2420.3495766 0.0032207 1.3600274E-4
2423.7545303 0.0026825 1.245616E-4
2427.1293517 0.0022636 8.5561536E-5
2430.5041731 0.0019306 5.1123559E-5
2433.9091268 0.0016601 3.8312908E-5
2437.2839482 0.0014417 3.6032648E-5
2440.6889019 0.0012574 3.6582496E-5
2444.0637232 0.0011032 2.9632643E-5
2447.468677 9.7203468E-4 1.849959E-5
2450.8434983 8.6237841E-4 1.9483285E-5
2454.2484521 7.6528892E-4 1.8016946E-5
2457.6232734 6.8320213E-4 2.0794318E-5
2461.0282272 6.1361184E-4 2.7222961E-5
2464.4030485 5.5353602E-4 2.2262984E-5
2467.8080022 5.0125625E-4 1.8516146E-5
2471.1828236 4.5732952E-4 1.9967509E-5
2474.5877773 4.1913196E-4 2.9097137E-5
2477.9625987 3.8621802E-4 2.2584803E-5
2481.3675524 3.5705708E-4 2.7689006E-5
2484.7725061 3.3321418E-4 1.8851631E-5
2488.1473275 3.0984984E-4 1.806434E-5
2491.5522812 2.8852091E-4 2.3926754E-5
2494.9271026 2.7048009E-4 1.9262185E-5
2498.301924 2.5231503E-4 2.378036E-5
2501.7068777 2.3380312E-4 2.4434625E-5
2505.0816991 2.1917233E-4 3.1681506E-5
2508.4565205 2.0548136E-4 2.6425419E-5
2511.6806802 1.9229928E-4 2.925819E-5
2515.2664279 1.7724636E-4 3.2752701E-5
2518.6412493 1.5975705E-4 2.2667433E-5
2522.046203 1.4782359E-4 2.4753832E-5
2525.4210244 1.395728E-4 2.395676E-5
2528.8259781 1.3047971E-4 2.7682821E-5
2532.2007995 1.2350063E-4 2.2708449E-5
2535.6057532 1.1541411E-4 2.7504155E-5
2538.9805746 1.0665934E-4 2.6857893E-5
2542.3855283 1.0248653E-4 1.586896E-5
2545.7603497 1.005375E-4 2.3127062E-5
2549.1653034 9.5877616E-5 2.2627517E-5
2552.5401248 9.1730187E-5 2.1861521E-5
2555.9450785 8.7966141E-5 2.7298123E-5
2559.3198999 8.6156819E-5 2.0019621E-5
2562.7248536 8.2614794E-5 2.7651298E-5
2566.099675 7.9738269E-5 2.6210479E-5
2569.5046287 7.7625214E-5 1.8351513E-5
2572.87945 7.4969202E-5 2.3143728E-5
2576.2844038 7.1937599E-5 1.8663191E-5
2579.6592251 6.940314E-5 2.210493E-5
2583.0641789 6.8802817E-5 2.6323962E-5
2586.4390002 6.6460875E-5 3.4660909E-5
2589.8138216 6.4455048E-5 2.4744109E-5
2593.2187753 6.4415214E-5 3.1380417E-5
2596.5935967 6.5657331E-5 2.4689363E-5
2599.9985504 6.5782257E-5 1.6921296E-5
