% IASI May 2009 fast model tuning file for wcon and nonLTE only
%    w con tuning to match AIRS dec05deliv water continuum
%    nonLTE tuning to match AIRS dec05deliv water continuum
% Created: 06 May 2009, Scott Hannon
%
%  ID   freq     fixed  w lines  w con    ozone    CO      CH4   nonLTE
%----  --------  ------  ------  ------  ------  ------  ------  ------
    1   645.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    2   645.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    3   645.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    4   645.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    5   646.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    6   646.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    7   646.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    8   646.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
    9   647.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   10   647.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   11   647.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   12   647.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   13   648.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   14   648.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   15   648.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   16   648.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   17   649.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   18   649.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   19   649.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   20   649.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   21   650.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   22   650.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   23   650.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   24   650.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   25   651.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   26   651.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   27   651.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   28   651.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   29   652.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   30   652.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   31   652.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   32   652.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   33   653.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   34   653.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   35   653.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   36   653.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   37   654.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   38   654.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   39   654.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   40   654.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   41   655.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   42   655.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   43   655.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   44   655.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   45   656.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   46   656.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   47   656.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   48   656.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   49   657.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   50   657.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   51   657.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   52   657.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   53   658.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   54   658.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   55   658.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   56   658.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   57   659.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   58   659.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   59   659.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   60   659.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   61   660.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   62   660.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   63   660.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   64   660.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   65   661.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   66   661.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   67   661.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   68   661.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   69   662.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   70   662.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   71   662.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   72   662.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   73   663.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   74   663.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   75   663.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   76   663.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   77   664.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   78   664.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   79   664.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   80   664.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   81   665.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   82   665.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   83   665.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   84   665.750  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   85   666.000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   86   666.250  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
   87   666.500  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000  1.0000
