% see /asl/data/hitran/H2020/ISOTOPES/convert2mass20.m 
% gasID   numiso   junk1       junk2        junk3     junk4 
     1       7 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     2      12 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     3       5 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     4       5 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     5       6 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     6       4 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     7       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     8       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
     9       4 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    10       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    11       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    12       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    13       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    14       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    15       4 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    16       4 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    17       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    18       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    19       6 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    20       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    21       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    22       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    23       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    24       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    25       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    26       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    27       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    28       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    29       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    30       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    31       3 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    32       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    33       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    34       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    35       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    36       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    37       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    38       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    39       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    40       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    41       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    42       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    43       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    44       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    45       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    46       4 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    47       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    48       1 -1.000000e+00 0.000000e+00 0.000000e+00 0000
    49       2 -1.000000e+00 0.000000e+00 0.000000e+00 0000
